,Unnamed: 0,Unnamed: 1,DETENIDOS,Unnamed: 3,Unnamed: 4,PROCESADOS,Unnamed: 6,Unnamed: 7,IMPUTADOS,Unnamed: 9,Unnamed: 10,PRIVATIVA DE LIBERTAD,Unnamed: 12,Unnamed: 13,REGIMEN CERRADO CON P.R.S.,Unnamed: 15,Unnamed: 16,FALTA,Unnamed: 18,Unnamed: 19,ARRESTO DIURNO,Unnamed: 21,Unnamed: 22,ARRESTO NOCTURNO,Unnamed: 24,Unnamed: 25,LEY N°20.603,Unnamed: 27,Unnamed: 28,LEY N°18.216,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,UNIDADES QUE INFORMAN,UNIDADES CON S.JUVENIL,UNIDADES RECLUSIÓN,UNIDADES CET,UNIDADES CRS,UNIDADES CAIS,Unnamed: 41,Unnamed: 42,Unnamed: 43
0,C/UNIDAD,Región / Establecimientos,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,,,,,,,,,
72,70205,CCP LINARES,3,0,3,0,0,0,127,0,127,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,375,0,375,399.0,0,399.0,,,,,,
73,70202,CCP MOLINA,0,0,0,0,0,0,0,0,0,72,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,76,0,76,89.0,0,89.0,,,,,,
74,70207,CCP PARRAL,0,1,1,0,0,0,37,0,37,60,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,16,113,106.0,10,116.0,,,,,,
75,70203,CCP TALCA,0,0,0,0,0,0,195,0,195,419,0,419,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,619,0,619,629.0,0,629.0,,,,,,
76,70103,CDP CHANCO,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15.0,0,15.0,,,,,,
77,70102,CDP CONSTITUCION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,18.0,,,,,,
78,70400,CET TALCA,0,0,0,0,0,0,0,0,0,63,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,6,69,69.0,6,75.0,X,,,,,
79,70302,CPF TALCA,0,0,0,0,0,0,0,39,39,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0.0,83,83.0,,,,,,
80,72307,CRS CAUQUENES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
81,72301,CRS CURICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
82,72302,CRS LINARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
83,72300,CRS TALCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
84,72002,CAIS LINARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
85,72001,CAIS TALCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
86,DEL MAULE,TOTAL DEL MAULE,3,1,4,0,0,0,578,44,622,1463,97,1560,5,0,5,0,0,0,0,0,0,1,0,1,19,0,19,12,0,12,2081,142,2223,2206.0,141,2347.0,,,,,,
87,80202,CCP BULNES,0,0,0,0,0,0,18,0,18,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,114.0,0,114.0,,,,,,
88,80201,CCP CHILLAN,0,0,0,0,0,0,162,29,191,233,27,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,397,56,453,421.0,68,489.0,,,,,,
89,80101,CDP QUIRIHUE,0,0,0,0,0,0,25,0,25,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71,71.0,0,71.0,,,,,,
90,80102,CDP SAN CARLOS,0,0,0,0,0,0,28,0,28,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,0,100,105.0,0,105.0,,,,,,
91,80106,CDP YUNGAY,0,0,0,0,0,0,15,0,15,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,83,0,83,83.0,0,83.0,,,,,,
92,80404,CET SAN CARLOS,0,0,0,0,0,0,0,0,0,28,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,34,35.0,3,38.0,X,,,,,
93,80403,CET YUNGAY,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,43.0,0,43.0,X,,,,,
94,82301,CRS CHILLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
95,DE ÑUBLE,TOTAL DE ÑUBLE,0,0,0,0,0,0,248,29,277,516,33,549,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,768,62,830,872.0,71,943.0,,,,,,
96,80501,CCP BIO BIO,0,0,0,0,0,0,450,0,450,862,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,0,1312,1336.0,0,1336.0,,,,,,
97,80204,CCP CORONEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.0,0,184.0,,,,,,
98,80107,CDP ARAUCO,0,0,0,0,0,0,22,1,23,70,7,77,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,94,8,102,144.0,15,159.0,,,,,,
99,80109,CDP LEBU,0,0,0,0,0,0,44,0,44,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,109,0,109,123.0,0,123.0,,,,,,
100,80108,CDP LOS ANGELES,0,0,0,0,0,0,0,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,9,12,11.0,20,31.0,,,,,,
101,80110,CDP MULCHEN,0,0,0,0,0,0,22,0,22,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,135.0,0,135.0,,,,,,
102,80105,CDP YUMBEL,0,0,0,0,0,0,20,0,20,76,0,76,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,98,0,98,169.0,0,169.0,,,,,,
103,80405,CET CAÑETE,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,22.0,0,22.0,X,,,,,
104,80402,CET CONCEPCION,0,0,0,0,0,0,0,0,0,71,14,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,14,85,49.0,13,62.0,X,,,,,
105,80203,CP CONCEPCION,0,0,0,0,0,0,0,27,27,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,33.0,97,130.0,,,,,,
106,80205,CRS CAÑETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
107,82300,CRS CONCEPCION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
108,82312,CRS CORONEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
109,82302,CRS LOS ANGELES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
110,82002,CAIS LOS ANGELES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
111,82001,CAIS CONCEPCION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
112,DEL BIO-BÍO,TOTAL DEL BIO BIO,0,0,0,0,0,0,558,30,588,1249,59,1308,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,2,0,2,1815,89,1904,2206.0,145,2351.0,,,,,,
113,90102,CCP COLLIPULLI,0,0,0,0,0,0,0,0,0,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,52.0,0,52.0,,,,,,
114,90202,CCP LAUTARO,0,0,0,0,0,0,13,0,13,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,74,85.0,0,85.0,,,,,,
115,90203,CCP NVA.  IMPERIAL,0,0,0,0,0,0,16,0,16,107,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,123,140.0,0,140.0,,,,,,
116,90204,CCP TEMUCO,0,0,0,0,0,0,126,0,126,352,0,352,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,481,0,481,503.0,0,503.0,,,,,,
117,90201,CCP VICTORIA,0,0,0,0,0,0,7,0,7,38,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,53,57.0,4,61.0,,,,,,
118,90101,CDP ANGOL,0,0,0,0,0,0,69,4,73,233,13,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,17,319,289.0,24,313.0,,,,,,
119,90104,CDP CURACAUTIN,0,0,0,0,0,0,11,0,11,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,40.0,0,40.0,,,,,,
120,90105,CDP PITRUFQUEN,0,0,0,0,0,0,30,0,30,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,129,150.0,0,150.0,,,,,,
121,90103,CDP TRAIGUEN,0,0,0,0,0,0,19,0,19,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,61,59.0,0,59.0,,,,,,
122,90106,CDP VILLARRICA,0,0,0,0,0,0,62,5,67,109,8,117,0,0,0,1,1,2,0,0,0,0,0,0,2,0,2,2,0,2,176,14,190,187.0,17,204.0,,,,,,
123,90402,CET ANGOL,0,0,0,0,0,0,0,0,0,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,32.0,0,32.0,X,,,,,
124,90403,CET VICTORIA,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,20.0,0,20.0,X,,,,,
125,90401,CET VILCUN,0,0,0,0,0,0,0,0,0,44,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,46,57.0,4,61.0,X,,,,,
126,90301,CPF TEMUCO,0,0,0,0,0,0,0,12,12,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0.0,48,48.0,,,,,,
127,90501,CRS ANGOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
128,90502,CRS TEMUCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,5.0,0,5.0,,X,,,,
129,90510,CRS VILLARRICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
130,92001,CAIS TEMUCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
131,DE LA ARAUCANÍA,TOTAL DE LA ARAUCANIA,0,0,0,0,0,0,353,21,374,1194,54,1248,0,0,0,4,1,5,0,0,0,0,0,0,4,0,4,2,0,2,1557,76,1633,1676.0,97,1773.0,,,,,,
132,160201,CCP RIO BUENO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,,,,
